first name,last name,Category,Sub-Category,Suber-catogory,,,
Wilbur and Orville,wright,Aerospace,airplanes,,,,
Artturi,Virtanen,Agriculture,Nutrition chemist,,,,
Trofim ,Lysenko,agriculture,biologist,,,,
Theodor,Schwann,Anatomy,physiologist,,,,
Andreas,Vesalius,Anatomy,dissections,,,,
Aldo,Leopold,animals,Wildlife conservation,,,,
,Allophrynidae,animals,Amphibians,,,,
,Alsodidae,animals,Amphibians,,,,
,Alytidae,animals,Amphibians,,,,
,Arthroleptidae,animals,Amphibians,,,,
,Ascaphidae,animals,Amphibians,,,,
,Batrachylidae,animals,Amphibians,,,,
,Bombinatoridae,animals,Amphibians,,,,
,Brachycephalidae,animals,Amphibians,,,,
,Brevicipitidae,animals,Amphibians,,,,
,Bufonidae,animals,Amphibians,,,,
,Calyptocephalellidae,animals,Amphibians,,,,
,Centrolenidae,animals,Amphibians,,,,
,Ceratobatrachidae,animals,Amphibians,,,,
,Ceratophryidae,animals,Amphibians,,,,
,Ceuthomantidae,animals,Amphibians,,,,
,Conrauidae,animals,Amphibians,,,,
,Craugastoridae,animals,Amphibians,,,,
,Cycloramphidae,animals,Amphibians,,,,
,Dendrobatidae,animals,Amphibians,,,,
,Dicroglossidae,animals,Amphibians,,,,
,Eleutherodactylidae,animals,Amphibians,,,,
,Heleophrynidae,animals,Amphibians,,,,
,Hemiphractidae,animals,Amphibians,,,,
,Hemisotidae,animals,Amphibians,,,,
,Hylidae,animals,Amphibians,,,,
,Hylodidae,animals,Amphibians,,,,
,Hyperoliidae,animals,Amphibians,,,,
,Leiopelmatidae,animals,Amphibians,,,,
,Leptodactylidae,animals,Amphibians,,,,
,Mantellidae,animals,Amphibians,,,,
,Megophryidae,animals,Amphibians,,,,
,Micrixalidae,animals,Amphibians,,,,
,Microhylidae,animals,Amphibians,,,,
,Myobatrachidae,animals,Amphibians,,,,
,Nasikabatrachidae,animals,Amphibians,,,,
,Nyctibatrachidae,animals,Amphibians,,,,
,Odontobatrachidae,animals,Amphibians,,,,
,Odontophrynidae,animals,Amphibians,,,,
,Pelobatidae,animals,Amphibians,,,,
,Pelodytidae,animals,Amphibians,,,,
,Petropedetidae,animals,Amphibians,,,,
,Phrynobatrachidae,animals,Amphibians,,,,
,Pipidae,animals,Amphibians,,,,
,Ptychadenidae,animals,Amphibians,,,,
,Pyxicephalidae,animals,Amphibians,,,,
,Ranidae,animals,Amphibians,,,,
,Ranixalidae,animals,Amphibians,,,,
,Rhacophoridae,animals,Amphibians,,,,
,Rhinodermatidae,animals,Amphibians,,,,
,Rhinophrynidae,animals,Amphibians,,,,
,Scaphiopodidae,animals,Amphibians,,,,
,Sooglossidae,animals,Amphibians,,,,
,Strabomantidae,animals,Amphibians,,,,
,Telmatobiidae,animals,Amphibians,,,,
,Aardwolf,animals,,,,,
,"Admiral, indian red",animals,,,,,
,Adouri (unidentified),animals,,,,,
,African black crake,animals,,,,,
,African buffalo,animals,,,,,
,African bush squirrel,animals,,,,,
,African clawless otter,animals,,,,,
,African darter,animals,,,,,
,African elephant,animals,,,,,
,African fish eagle,animals,,,,,
,African ground squirrel (unidentified),animals,,,,,
,African jacana,animals,,,,,
,African lion,animals,,,,,
,African lynx,animals,,,,,
,African pied wagtail,animals,,,,,
,African polecat,animals,,,,,
,African porcupine,animals,,,,,
,African red-eyed bulbul,animals,,,,,
,African skink,animals,,,,,
,African snake (unidentified),animals,,,,,
,African wild cat,animals,,,,,
,African wild dog,animals,,,,,
,Agama lizard (unidentified),animals,,,,,
,Agile wallaby,animals,,,,,
,Agouti,animals,,,,,
,"Albatross, galapagos",animals,,,,,
,"Albatross, waved",animals,,,,,
,"Alligator, american",animals,,,,,
,"Alligator, mississippi",animals,,,,,
,Alpaca,animals,,,,,
,Amazon parrot (unidentified),animals,,,,,
,American Virginia opossum,animals,,,,,
,American alligator,animals,,,,,
,American badger,animals,,,,,
,American beaver,animals,,,,,
,American bighorn sheep,animals,,,,,
,American bison,animals,,,,,
,American black bear,animals,,,,,
,American buffalo,animals,,,,,
,American crow,animals,,,,,
,American marten,animals,,,,,
,American racer,animals,,,,,
,American woodcock,animals,,,,,
,Anaconda (unidentified),animals,,,,,
,Andean goose,animals,,,,,
,Ant (unidentified),animals,,,,,
,"Anteater, australian spiny",animals,,,,,
,"Anteater, giant",animals,,,,,
,"Antechinus, brown",animals,,,,,
,Antelope ground squirrel,animals,,,,,
,"Antelope, four-horned",animals,,,,,
,"Antelope, roan",animals,,,,,
,"Antelope, sable",animals,,,,,
,Arboral spiny rat,animals,,,,,
,Arctic fox,animals,,,,,
,Arctic ground squirrel,animals,,,,,
,Arctic hare,animals,,,,,
,Arctic lemming,animals,,,,,
,Arctic tern,animals,,,,,
,Argalis,animals,,,,,
,"Armadillo, common long-nosed",animals,,,,,
,"Armadillo, giant",animals,,,,,
,"Armadillo, nine-banded",animals,,,,,
,"Armadillo, seven-banded",animals,,,,,
,Asian elephant,animals,,,,,
,Asian false vampire bat,animals,,,,,
,Asian foreset tortoise,animals,,,,,
,Asian lion,animals,,,,,
,Asian openbill,animals,,,,,
,Asian red fox,animals,,,,,
,Asian water buffalo,animals,,,,,
,Asian water dragon,animals,,,,,
,Asiatic jackal,animals,,,,,
,Asiatic wild ass,animals,,,,,
,"Ass, asiatic wild",animals,,,,,
,Australian brush turkey,animals,,,,,
,Australian magpie,animals,,,,,
,Australian masked owl,animals,,,,,
,Australian pelican,animals,,,,,
,Australian sea lion,animals,,,,,
,Australian spiny anteater,animals,,,,,
,"Avocet, pied",animals,,,,,
,Azara's zorro,animals,,,,,
,"Baboon, chacma",animals,,,,,
,"Baboon, gelada",animals,,,,,
,"Baboon, olive",animals,,,,,
,"Baboon, savanna",animals,,,,,
,"Baboon, yellow",animals,,,,,
,"Badger, american",animals,,,,,
,"Badger, eurasian",animals,,,,,
,"Badger, european",animals,,,,,
,"Badger, honey",animals,,,,,
,Bahama pintail,animals,,,,,
,Bald eagle,animals,,,,,
,Baleen whale,animals,,,,,
,Banded mongoose,animals,,,,,
,"Bandicoot, long-nosed",animals,,,,,
,"Bandicoot, short-nosed",animals,,,,,
,"Bandicoot, southern brown",animals,,,,,
,Barasingha deer,animals,,,,,
,"Barbet, black-collared",animals,,,,,
,"Barbet, crested",animals,,,,,
,"Barbet, levaillant's",animals,,,,,
,Bare-faced go away bird,animals,,,,,
,Barking gecko,animals,,,,,
,Barrows goldeneye,animals,,,,,
,"Bat, asian false vampire",animals,,,,,
,"Bat, little brown",animals,,,,,
,"Bat, madagascar fruit",animals,,,,,
,Bat-eared fox,animals,,,,,
,Bateleur eagle,animals,,,,,
,"Bear, american black",animals,,,,,
,"Bear, black",animals,,,,,
,"Bear, grizzly",animals,,,,,
,"Bear, polar",animals,,,,,
,"Bear, sloth",animals,,,,,
,"Beaver, american",animals,,,,,
,"Beaver, eurasian",animals,,,,,
,"Beaver, european",animals,,,,,
,"Beaver, north american",animals,,,,,
,Bee-eater (unidentified),animals,,,,,
,"Bee-eater, carmine",animals,,,,,
,"Bee-eater, nubian",animals,,,,,
,"Bee-eater, white-fronted",animals,,,,,
,Beisa oryx,animals,,,,,
,Bengal vulture,animals,,,,,
,Bennett's wallaby,animals,,,,,
,Bent-toed gecko,animals,,,,,
,"Bettong, brush-tailed",animals,,,,,
,Bird (unidentified),animals,,,,,
,"Bird, bare-faced go away",animals,,,,,
,"Bird, black-throated butcher",animals,,,,,
,"Bird, magnificent frigate",animals,,,,,
,"Bird, pied butcher",animals,,,,,
,"Bird, red-billed tropic",animals,,,,,
,"Bird, secretary",animals,,,,,
,"Bison, american",animals,,,,,
,Black and white colobus,animals,,,,,
,Black bear,animals,,,,,
,Black curlew,animals,,,,,
,Black kite,animals,,,,,
,Black rhinoceros,animals,,,,,
,Black spider monkey,animals,,,,,
,Black swan,animals,,,,,
,Black vulture,animals,,,,,
,Black-backed jackal,animals,,,,,
,Black-backed magpie,animals,,,,,
,Black-capped capuchin,animals,,,,,
,Black-capped chickadee,animals,,,,,
,Black-cheeked waxbill,animals,,,,,
,Black-collared barbet,animals,,,,,
,Black-crowned crane,animals,,,,,
,Black-crowned night heron,animals,,,,,
,Black-eyed bulbul,animals,,,,,
,Black-faced kangaroo,animals,,,,,
,Black-footed ferret,animals,,,,,
,Black-fronted bulbul,animals,,,,,
,Black-necked stork,animals,,,,,
,Black-tailed deer,animals,,,,,
,Black-tailed prairie dog,animals,,,,,
,Black-tailed tree creeper,animals,,,,,
,Black-throated butcher bird,animals,,,,,
,Black-throated cardinal,animals,,,,,
,Black-winged stilt,animals,,,,,
,"Blackbird, red-winged",animals,,,,,
,Blackbuck,animals,,,,,
,Blackish oystercatcher,animals,,,,,
,Blacksmith plover,animals,,,,,
,Bleeding heart monkey,animals,,,,,
,Blesbok,animals,,,,,
,"Bleu, blue-breasted cordon",animals,,,,,
,"Bleu, red-cheeked cordon",animals,,,,,
,Blue and gold macaw,animals,,,,,
,Blue and yellow macaw,animals,,,,,
,Blue catfish,animals,,,,,
,Blue crane,animals,,,,,
,Blue duck,animals,,,,,
,Blue fox,animals,,,,,
,Blue peacock,animals,,,,,
,Blue racer,animals,,,,,
,Blue shark,animals,,,,,
,Blue waxbill,animals,,,,,
,Blue wildebeest,animals,,,,,
,Blue-breasted cordon bleu,animals,,,,,
,Blue-faced booby,animals,,,,,
,Blue-footed booby,animals,,,,,
,Blue-tongued lizard,animals,,,,,
,Blue-tongued skink,animals,,,,,
,"Boa, columbian rainbow",animals,,,,,
,"Boa, cook's tree",animals,,,,,
,"Boa, emerald green tree",animals,,,,,
,"Boa, malagasy ground",animals,,,,,
,"Boa, mexican",animals,,,,,
,"Boar, wild",animals,,,,,
,Boat-billed heron,animals,,,,,
,Bobcat,animals,,,,,
,Bohor reedbuck,animals,,,,,
,Bonnet macaque,animals,,,,,
,Bontebok,animals,,,,,
,"Booby, blue-faced",animals,,,,,
,"Booby, blue-footed",animals,,,,,
,"Booby, masked",animals,,,,,
,Bottle-nose dolphin,animals,,,,,
,"Boubou, southern",animals,,,,,
,Brazilian otter,animals,,,,,
,Brazilian tapir,animals,,,,,
,Brindled gnu,animals,,,,,
,"Brocket, brown",animals,,,,,
,"Brocket, red",animals,,,,,
,Brolga crane,animals,,,,,
,Brown and yellow marshbird,animals,,,,,
,Brown antechinus,animals,,,,,
,Brown brocket,animals,,,,,
,Brown capuchin,animals,,,,,
,Brown hyena,animals,,,,,
,Brown lemur,animals,,,,,
,Brown pelican,animals,,,,,
,Brush-tailed bettong,animals,,,,,
,Brush-tailed phascogale,animals,,,,,
,Brush-tailed rat kangaroo,animals,,,,,
,"Buffalo, african",animals,,,,,
,"Buffalo, american",animals,,,,,
,"Buffalo, asian water",animals,,,,,
,"Buffalo, wild water",animals,,,,,
,"Bulbul, african red-eyed",animals,,,,,
,"Bulbul, black-eyed",animals,,,,,
,"Bulbul, black-fronted",animals,,,,,
,"Bunting, crested",animals,,,,,
,Burchell's gonolek,animals,,,,,
,Burmese black mountain tortoise,animals,,,,,
,Burmese brown mountain tortoise,animals,,,,,
,Burrowing owl,animals,,,,,
,Bush dog,animals,,,,,
,"Bushbaby, large-eared",animals,,,,,
,Bushbuck,animals,,,,,
,Bushpig,animals,,,,,
,"Bustard, denham's",animals,,,,,
,"Bustard, kori",animals,,,,,
,"Bustard, stanley",animals,,,,,
,Butterfly (unidentified),animals,,,,,
,"Butterfly, canadian tiger swallowtail",animals,,,,,
,"Butterfly, tropical buckeye",animals,,,,,
,Buttermilk snake,animals,,,,,
,"Caiman, spectacled",animals,,,,,
,California sea lion,animals,,,,,
,"Camel, dromedary",animals,,,,,
