NAME,ICO DATE,ICO PRICE,help,CURR. PRICE,24 HR ROI,arrow_drop_down,ROI SINCE LAST WEEK,ROI SINCE LAST MONTH
Golos,Buy Instantly,11/01/16,$0.017,$0.135,+35.34%,+28.86%,-28.39%
Swarm City,Buy Instantly,11/01/16,$0.088,$3.524,+32.70%,+46.44%,-23.06%
Ark,11/07/16,$0.010,$0.780,+24.96%,+25.97%,+24.14%
Spectrecoin,11/20/16,$0.001,$0.298,+15.90%,-8.87%,+86.78%
Stratis,Buy Instantly,06/20/16,$0.007,$6.980,+12.59%,+0.23%,-33.17%
Plutus,06/21/16,$1.180,$20.987,+10.92%,+54.26%,+11.11%
Aragon,Buy Instantly,05/17/17,$0.917,$2.417,+10.55%,-16.57%,+9.38%
Patientory,05/31/17,$0.104,$0.218,+9.26%,+8.68%,-66.37%
Lunyr,03/29/17,$1.610,$3.112,+6.97%,-7.25%,-13.33%
Gnosis,Buy Instantly,04/24/17,$29.850,$332.066,+5.97%,+52.57%,+28.13%
Virtual Accelerator,10/20/16,$0.040,$0.104,+4.64%,+12.74%,+50.52%
Edgeless,Buy Instantly,02/28/17,$0.040,$0.751,+4.41%,+29.32%,+138.87%
Augur,Buy Instantly,08/01/15,$0.600,$27.528,+3.40%,+1.70%,-12.46%
ChronoBank,Buy Instantly,12/15/16,$7.600,$21.764,+2.44%,+0.56%,-20.49%
WeTrust,Buy Instantly,03/02/17,$0.060,$0.240,+2.03%,-15.08%,-45.40%
Lisk,Buy Instantly,02/22/16,$0.080,$2.542,+1.56%,-11.36%,+48.53%
Wings,Buy Instantly,11/18/16,$0.030,$0.428,+0.99%,-15.24%,-33.93%
Tokes,12/02/16,$0.130,$1.555,+0.26%,-22.69%,+24.60%
Bancor,Buy Instantly,06/12/17,$3.864,$2.747,N/A,N/A,N/A
Antshares,10/01/15,$0.030,$7.614,-0.39%,-4.61%,+488.32%
Humaniq,04/06/17,$0.039,$0.162,-3.17%,-13.88%,-2.36%
Iconomi,Buy Instantly,08/25/16,$0.130,$3.521,-3.97%,-20.58%,+151.63%
Melonport,Buy Instantly,02/15/17,$5.800,$69.956,-3.98%,-11.64%,+4.13%
Lykke,09/16/16,$0.060,$0.350,-3.99%,-7.82%,+13.65%
Bitcrystals,Buy Instantly,07/29/15,$0.020,$0.510,-4.20%,-18.36%,-4.90%
Waves,Buy Instantly,04/12/16,$0.190,$4.379,-4.39%,+11.18%,-21.69%
Basic Attention Token,Buy Instantly,05/31/17,$0.035,$0.125,-4.50%,-28.10%,-56.73%
DigixDAO,Buy Instantly,03/01/16,$3.240,$73.179,-5.03%,-13.40%,-17.61%
Beyond the Void,11/01/16,$0.015,$0.253,-7.49%,-10.04%,-11.27%
Incent,09/01/16,$0.043,$0.196,-8.89%,-9.73%,-41.03%
